Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Bronx,8,Brook Ave,10:45am,6:45am,40.807559967041016,"138th, Brook Ave - NW Corner",-73.91922760009766,Mott Haven-Port Morris,,,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,201,25,POINT (-73.91922579999994 40.80755932000005),10454
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Thursday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,8pm,1pm,40.721675872802734,236 East 2nd Street,-73.98201751708984,Lower East Side,,,Sunday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.721676),10009
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Thursday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Fridays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Queens,21,OPENING JUNE 21: Corona Greenmarket,03:00 PM,08:00 AM,40.74987030029297,"Corona Plaza, Roosevelt Ave at 103 Street, Queens",-73.86272430419922,North Corona,,,Fridays,"Seasonal Market, July-November",GrowNYC,http://www.grownyc.org/greenmarket/queens/corona,403,405,POINT (-73.86272585999995 40.74986911000008),11368
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Wednesday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Manhattan,9,Garden of Love,6pm,10am,40.80439758300781,302 West 116 Street,-73.95604705810547,Central Harlem South,,,Sunday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Tuesday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Wednesdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
,17,OPENING JULY 7: La Familia Verde Farmer's Market,1pm,9am,40.84648513793945,"E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457",-73.89434051513672,Claremont-Bathgate,,,Tuesday,"Seasonal, July-November",GrowNYC,https://www.grownyc.org/compost/locations; http://www.lafamiliaverde.org/,206,395,POINT (-73.89433677999995 40.84648672000003),10457
Bronx,11,Church of the Mediator/La Iglesia El Mediador,10:00 AM,08:00 AM,40.87980651855469,W 231 St & Kingsbridge Ave,-73.90657806396484,Spuyten Duyvil-Kingsbridge,,,Tuesdays,Year Round,Serviced/Managed by Volunteers from Church of the Mediator,churchofthemediator.org,208,289,POINT (-73.90657531999994 40.87980696000005),10463
Manhattan,1,Commuter Composting at Grand Street & Clinton Street,11am,8am,40.7159538269043,"Grand Street & Clinton Street (SW corner), Manhattan",-73.98672485351563,Lower East Side,,,Friday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,1401,POINT (-73.98672146999996 40.71595361000004),10002
Queens,24,Commuter Composting at Briarwood E/F,09:30 AM,07:30 AM,40.70998764038086,Briarwood E/F Subway Station Entrance (North Side of Queens Boulevard),-73.81996154785156,Kew Gardens,,,Tuesdays,Year Round,NYC Compost Project,,408,22001,POINT (-73.819962 40.709987),11435
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Friday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Brooklyn,37,Irving Square Park,11:00 AM,08:00 AM,40.69298553466797,Corner of Halsey and Knickerbocker,-73.9083023071289,Bushwick North,,,Mondays,Year Round,NYC Compost Project,,304,437,POINT (-73.9083 40.692985),11207
Staten Island,49,St. George Greenmarket,01:00 PM,08:00 AM,40.64158630371094,"St Marks Pl & Hyatt St
Staten Island, NY 10301",-74.07789611816406,West New Brighton-New Brighton-St. George,,,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,501,3,POINT (-74.07789963999994 40.64158581000004),10301
Brooklyn,35,"Franklin Avenue 2/3/4/5 (Closed Wednesday, 7/3 - Independence Day)",10:00 AM,08:00 AM,40.670658111572266,Franklin Avenue & Eastern Parkway,-73.95797729492188,Crown Heights South,,,Wednesdays,Year Round,NYC Compost Project,,308,217,POINT (-73.95797447999996 40.670658020000076),11238
Manhattan,6,"Tucker Square Greenmarket (Closed Thursday, 7/4 - Independence Day)",1pm,8am,40.773719787597656,"Columbus Ave & W 66th St, New York, NY 10023",-73.98190307617188,Lincoln Square,,,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,149,POINT (-73.9819 40.773721),10023
Bronx,8,OPEN FOR SEASON: Target Bronx Community Garden,4pm,12pm,40.83280944824219,1025 Anderson Avenue,-73.9270248413086,Highbridge,,,Saturday,Seasonal,Target Bronx Community Garden/ NYRP,www.nyrp.org,204,2000,POINT (-73.927022 40.832809),10452
Queens,26,Commuter Composting at Vernon Jackson 7,11:00 AM,08:00 AM,40.74272918701172,"Vernon Blvd & 50th Ave, Long Island City, NY 11101 ?",-73.95404815673828,Hunters Point-Sunnyside-West Maspeth,,,Tuesdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,402,7,POINT (-73.954048 40.742731),11101
Manhattan,9,Harlem Grown,3pm,11am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Saturday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Brooklyn,38,Red Hook Community Farm,12:00 PM,09:00 AM,40.67222595214844,Otsego Street and Beard Street,-74.0110092163086,Carroll Gardens-Columbia Street-Red Hook,,,Fridays,Year Round,NYC Compost Project,,306,53,POINT (-74.01100590999994 40.67222695000004),11231
Manhattan,5,82nd St Greenmarket [St. Stevens],1pm,9am,40.7742919921875,82nd Street between 1st and York Avenues,-73.95126342773438,Yorkville,,,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,108,136,POINT (-73.95126218999997 40.77429196000003),10028
Manhattan,6,OPEN FOR SEASON: 57th St Greenmarket,2pm,8am,40.76911544799805,10th Avenue & West 57th Street,-73.98855590820313,Clinton,,,Saturday,"Seasonal Market, June-December",GrowNYC,http://www.grownyc.org/compost/locations,104,135,POINT (-73.98855928999996 40.76911688000007),10019
Manhattan,1,OPEN FOR SEASON: Governors Islands Zero Waste Stations,05:00 PM,11:00 AM,40.686954498291016,Several locations throughout Governors Island,-74.02043151855469,park-cemetery-etc-Manhattan,,,Everyday,"Seasonal, May-September",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686956),10004
Manhattan,9,Cathedral Parkway (110th St),10:15 AM,06:45 AM,40.80036544799805,110th & Central Park West - SW Corner,-73.95833587646484,park-cemetery-etc-Manhattan,,,Wednesdays,Year Round,GrowNYC,https://www.grownyc.org/compost-go,110,216,POINT (-73.95833323999994 40.80036420000005),10029
Brooklyn,39,Big Reuse Brooklyn,06:00 PM,10:00 AM,40.671722412109375,"One 12th St, Brooklyn, NY, 11215",-73.99671173095703,Park Slope-Gowanus,,,Fridays,Year Round,NYC Compost Project & Community Partners,http://www.bigreuse.org/compost/drop-off-list/,306,119,POINT (-73.996711 40.671721),11215
Brooklyn,36,Mt. Lebanon Fresh Food Box,02:30 PM,11:30 AM,40.683204650878906,462 Halsey Street,-73.93566131591797,Stuyvesant Heights,,,Saturdays,"Seasonal, June-November",GrowNYC,https://www.grownyc.org/greenmarketco/foodbox; http://www.462halsey.com/compost/,303,4000,POINT (-73.935663 40.683203),11233
Manhattan,3,Saint Peter's Church,dusk,dawn,40.74405288696289,346 West 20th Street,-74.00200653076172,Hudson Yards-Chelsea-Flatiron-Union Square,,,Everyday,Year Round,Saint Peter's Church,www.stpeterschelsea.org,104,2000,POINT (-74.00200300000002 40.744053),10011
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.824302673339844,512 West 143rd Street,-73.95000457763672,Hamilton Heights,,,Monday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031
Manhattan,9,FACES NY at 116th,2pm,10am,40.80215835571289,"114 West 116th, 10026",-73.95074462890625,Central Harlem South,,,Monday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950743 40.802157),10026
Queens,26,Commuter Composting at 21st Street F train,11:00 AM,08:00 AM,40.753997802734375,NW Corner of 21st street at 41st Ave,-73.94242858886719,Queensbridge-Ravenswood-Long Island City,,,Tuesdays,Year Round,NYC Compost Project,,401,25,POINT (-73.94243045999997 40.753996),11101
Bronx,11,Praxis Housing,12:00 PM,9:00 AM,40.896827697753906,4339 White Plains Road,-73.85594177246094,Woodlawn-Wakefield,,,Wednesdays,Year Round,Praxis Housing,,212,2000,POINT (-73.85594 40.896827),10466
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Tuesday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Manhattan,4,"Dag Hammarskjold Plaza Greenmarket (Closed Thursday, 7/4 - Independence Day)",3pm,8am,40.75299835205078,"East 47 St at 2 Ave,New York,NY, 10017",-73.96988677978516,Turtle Bay-East Midtown,,,Wednesday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,106,90,POINT (-73.96988742999997 40.752999130000035),10017
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889419555664,14-33 30th Drive,-73.92994689941406,Old Astoria,,,Sundays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.824302673339844,512 West 143rd Street,-73.95000457763672,Hamilton Heights,,,Thursday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031
Manhattan,2,Union Square Greenmarket,5pm,8am,40.736820220947266,"E 17th St & Union Square E, New York, NY",-73.99004364013672,Hudson Yards-Chelsea-Flatiron-Union Square,,,Monday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.736822),10003
Queens,31,OPEN FOR SEASON: Rockaway Waterfront Alliance R.I.S.E.,07:00 PM,04:00 PM,40.59187698364258,5803 Rockaway Beach Blvd.,-73.78826141357422,Hammels-Arverne-Edgemere,,,Wednesdays,"Seasonal, July-December",Rockaway Waterfront Alliance R.I.S.E.,www.rwalliance.org,414,1029,POINT (-73.788262 40.591877),11692
Manhattan,5,Lenox Hill Neighborhood House Fresh Food Box,6:30pm,3:30pm,40.76649475097656,1st Avenue Between 70th St and 71st St,-73.95695495605469,Lenox Hill-Roosevelt Island,,,Tuesday,Year Round,GrowNYC,http://www.grownyc.org/greenmarketco/foodbox,108,124,POINT (-73.95695733999997 40.766493670000045),10021
Brooklyn,33,Park Church Co-op,09:00 PM,06:00 PM,40.724822998046875,"Park Church Co-op, 129 Russell Street Brooklyn",-73.94465637207031,Greenpoint,,,Wednesdays,Year Round,Park Church Co-op,parkchurchcoop.org,301,4001,POINT (-73.944656 40.724823),11222
Brooklyn,43,4th Avenue Presbyterian Church,Dusk,05:00PM,40.63547134399414,6753 4th Avenue,-74.02279663085938,Bay Ridge,,,Fridays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.635473),11220
Manhattan,9,127 Street & Malcolm X Food Scrap Drop Off Site,dusk,dawn,40.80899429321289,77 West 127th Street between Malcolm X Boulevard and 5th Ave,-73.94377899169922,Central Harlem North-Polo Grounds,,,Everyday,Year Round,NYC Compost Project,http://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,110,3000,POINT (-73.94377700000001 40.808996),10027
Brooklyn,33,"Brooklyn Borough Hall Greenmarket (Closed Thursday, 7/4 - Independence Day)",04:00 PM,08:00 AM,40.693721771240234,"Court St & Montague St, Brooklyn, NY 11201",-73.9904556274414,Brooklyn Heights-Cobble Hill,,,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,9,POINT (-73.99045462 40.693721390000064),11201
Bronx,18,OPEN FOR SEASON: Parkchester Greenmarket,02:00 PM,08:00 AM,40.83336639404297,"White Plains Rd & Westchester Ave, Bronx, NY 10472",-73.86192321777344,Parkchester,,,Fridays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,209,72,POINT (-73.861921 40.833367),10472
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.790374755859375,270 West 89th Street,-73.97599792480469,Upper West Side,,,Thursday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024
Manhattan,9,Garden of Love,6pm,10am,40.80439758300781,302 West 116 Street,-73.95604705810547,Central Harlem South,,,Saturday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026
Queens,26,Smiling Hogshead Ranch,Dusk,Dawn,40.7431755065918,25-30 Skillman Avenue,-73.94308471679688,Hunters Point-Sunnyside-West Maspeth,,,Everyday,Year Round,"Smiling Hogshead, Inc",smilinghogsheadranch.org,402,1036,POINT (-73.943087 40.743176),11101
Manhattan,7,Dorothy K. McGowan Memorial Garden,4pm,1pm,40.834022521972656,513 West 158th Street,-73.9422607421875,Washington Heights South,,,Saturday,Year Round,Dorothy K. McGowan Memorial Garden,,112,7000,POINT (-73.94226400000001 40.834024),10032
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Wednesday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Queens,25,St. James Compost,12:00 PM,10:00 AM,40.73834228515625,86-02 Broadway,-73.87782287597656,Elmhurst,,,1st and 3rd Sundays of every month,Year Round,St. James Compost,https://www.instagram.com/stjamescompost/,404,2000,POINT (-73.877826 40.73834200000001),11373
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Tuesdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Manhattan,7,"Columbia University Greenmarket (Closed Thursday, 7/4 - Independence Day)",1pm,8am,40.806705474853516,"Broadway at West 114 St,New York,NY,10025",-73.96485137939453,Morningside Heights,,,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,109,199,POINT (-73.96484934999995 40.806706690000055),10025
Queens,29,Commuter Composting at 63rd Dr. M/R,09:30 AM,07:30 AM,40.7296142578125,"96-14 Queens Blvd, Rego Park, NY 11374",-73.86219787597656,Rego Park,,,Mondays,Year Round,NYC Compost Project,https://queensbotanical.org/farmandcompost/,406,1000,POINT (-73.862201 40.729613),11374
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Tuesday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Bronx,16,BronxWorks Fresh Food Box,6pm,2pm,40.832611083984375,1130 Grand Concourse,-73.91875457763672,East Concourse-Concourse Village,,,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,204,1002,POINT (-73.918751 40.83261),10456
Bronx,11,Meg's Community Garden @ Dewitt Clinton High School Campus,Dusk,04:00 PM,40.88145065307617,100 West Mosholu Parkway,-73.88664245605469,Van Cortlandt Village,,,Thursdays,"Seasonal, May-November",James Baldwin Outdoor Learning Center,,207,409,POINT (-73.886643 40.881451),10468
Manhattan,7,157th Street,11am,7am,40.83406066894531,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)",-73.94487762451172,Washington Heights South,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,241,POINT (-73.94487993999996 40.83406097000005),10032
Manhattan,2,14th Street Y,9pm,7am,40.7312126159668,344 E 14th Street,-73.98336029052734,East Village,,,Tuesday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003
Manhattan,9,Uptown Grand Central Fresh Food Box,7pm,3pm,40.805057525634766,"125th Street at Park Avenue, outside the Metro-North Station",-73.93903350830078,East Harlem North,,,Wednesday,Year Round,GrowNYC,http://www.grownyc.org/greenmarketco/foodbox,111,196,POINT (-73.93903422999995 40.80505733000007),10035
Brooklyn,41,Iso Student Farm,12:00 PM,09:00 AM,40.66746520996094,514 Rockaway Avenue,-73.91048431396484,Brownsville,,,Mondays,Seasonal,Isabahlia LOE Foundation,www.isabahlialoeinc.org,316,1005,POINT (-73.910481 40.66746400000001),11212
Manhattan,3,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,7pm,7am,40.7488899230957,Chelsea Waterside Park at 23rd St. and 11th Ave entrance,-74.00702667236328,Hudson Yards-Chelsea-Flatiron-Union Square,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,99,POINT (-74.00702330999997 40.748891220000075),10011
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-04:00PM,09:00AM,40.67851638793945,20 Somers Street,-73.91161346435547,Ocean Hill,,,Saturdays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,8pm,1pm,40.721675872802734,236 East 2nd Street,-73.98201751708984,Lower East Side,,,Saturday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.721676),10009
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Wednesday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Manhattan,3,Hudson River Park's Pier 84 at W. 44th St.,7pm,7am,40.76311492919922,Pier 84 at W. 44th St. near dog park,-73.99964904785156,Clinton,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,129,POINT (-73.99964983999996 40.763114700000074),10036
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Saturdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Manhattan,2,Tompkins Square Greenmarket,1pm,8am,40.72605514526367,"E 7th St & Avenue A, New York, NY 10009",-73.98353576660156,East Village,,,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,103,32,POINT (-73.98353371999997 40.726053910000076),10009
Manhattan,2,East Side Outside Community Garden,dusk,dawn,40.72938537597656,415 East 11th St.,-73.98302459716797,East Village,,,Everyday,Year Round,East Side Outside Community Garden,reclaimedorganics.org/garden,103,3000,POINT (-73.983024 40.729384),10009
Manhattan,3,Church of the Holy Apostles,dusk,dawn,40.749271392822266,296 Ninth Avenue,-73.99881744384766,Hudson Yards-Chelsea-Flatiron-Union Square,,,Everyday,Year Round,Holy Apostles,holyapostlessoupkitchen.org,104,1001,POINT (-73.99882 40.749271),10001
Bronx,16,"OPENING JULY 10: Learn it, Grow it, Eat it Youthmarket",03:00 PM,10:00 AM,40.831138610839844,McKinley Sq. at 169th St. & Boston Road,-73.90068817138672,Morrisania-Melrose,,,Wednesdays,"Seasonal Market, July-November",GrowNYC,http://www.grownyc.org/compost/locations,203,149,POINT (-73.900686 40.83114),10456
Manhattan,5,OPENING JUNE 23: 92nd Street Greenmarket,01:00 PM,09:00 AM,40.78097915649414,"1st Ave between 92nd and 93rd St,New York,NY,10128",-73.94623565673828,Yorkville,,,Sundays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,108,154,POINT (-73.946239 40.780978),10128
Manhattan,1,Commuter Composting at Grand Street & Clinton Street,11am,8am,40.7159538269043,"Grand Street & Clinton Street (SW corner), Manhattan",-73.98672485351563,Lower East Side,,,Monday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,1401,POINT (-73.98672146999996 40.71595361000004),10002
Manhattan,1,"OPEN FOR SEASON: Earth Matter, Compost Learning Center",04:00 PM,12:00 PM,40.686954498291016,"758 Enright Rd, New York, NY 10004",-74.02043151855469,park-cemetery-etc-Manhattan,,,Sundays,"Seasonal, May-October",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686956),10004
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Friday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Queens,22,Astoria Library,08:00 PM,12:00 PM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,Open during regular/holidy library hours (check the Queens Library website),,Mondays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Manhattan,1,Judson Memorial Church,1pm,10am,40.73020935058594,243 Thompson Street,-73.9984130859375,West Village,,,Sunday,Year Round,Judson Memorial Church,judson.org,102,1005,POINT (-73.998416 40.730208),10012
Bronx,17,OPEN FOR SEASON: New Roots Community Farm,7pm,3pm,40.82124328613281,670 Grand Concourse,-73.92504119873047,East Concourse-Concourse Village,,,Tuesday,"Seasonal, April-October",New Roots Community Farm/ International Rescue Committee,,204,2001,POINT (-73.925043 40.821243),10451
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.790374755859375,270 West 89th Street,-73.97599792480469,Upper West Side,,,Wednesday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024
Queens,22,Astoria Library,05:00 PM,10:00 AM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,,,Saturdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Manhattan,6,79th St Greenmarket,1pm,9am,40.781951904296875,Columbus Avenue and 79th Street,-73.97547912597656,Upper West Side,,,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,165,POINT (-73.97548204999998 40.78195198000003),10024
Manhattan,6,OPEN FOR SEASON: 57th St Greenmarket,1pm,8am,40.76911544799805,10th Avenue & West 57th Street,-73.98855590820313,Clinton,,,Wednesday,"Seasonal Market, June-December",GrowNYC,http://www.grownyc.org/compost/locations,104,135,POINT (-73.98855928999996 40.76911688000007),10019
